,note_name,start_time,duration,velocity,tempo
721,G#5,163.51,49/100,96,124
722,G#6,163.51,49/100,104,124
723,G#5,164.0,4.0,120,124
724,G#5,164.0,4.0,96,124
725,G#6,164.0,4.0,104,124
726,F#4,164.01,99/100,112,124
727,A2,164.01,399/100,96,124
728,C#4,165.01,99/100,112,124
729,B-3,165.01,99/100,88,124
730,E-4,166.01,49/100,112,124
731,G#3,166.51,149/100,88,124
732,F#4,166.51,149/100,104,124
733,B3,166.51,149/100,104,124
734,G#5,168.01,99/100,99,124
735,G#4,168.01,99/100,99,124
736,C#4,168.01,99/100,99,124
737,C#3,168.01,99/100,108,124
738,G#5,168.01,99/100,108,124
739,B-5,169.01,99/100,112,124
740,B-5,169.01,99/100,108,124
741,C#4,169.01,99/100,108,124
742,C#3,169.51,249/100,120,124
743,B5,170.01,99/100,112,124
744,B5,170.01,99/100,108,124
745,E-4,170.01,99/100,108,124
746,E-6,171.01,99/100,112,124
747,E-6,171.01,99/100,108,124
748,C#4,171.01,99/100,108,124
749,C#6,172.01,99/100,99,124
750,F#4,172.01,99/100,99,124
751,E-4,172.01,99/100,99,124
752,E-3,172.01,99/100,108,124
753,C#6,172.01,99/100,108,124
754,B5,173.01,49/100,120,124
755,C#4,173.01,99/100,96,124
756,B5,173.01,49/100,112,124
757,B-5,173.51,99/100,120,124
758,E-3,173.51,249/100,120,124
759,B-5,173.51,99/100,112,124
760,E-4,174.01,99/100,96,124
761,F#5,174.51,149/100,120,124
762,F#5,174.51,149/100,112,124
763,F#4,175.01,99/100,96,124
764,G#5,176.01,99/100,99,124
765,G#4,176.01,99/100,99,124
766,E4,176.01,99/100,99,124
767,E3,176.01,99/100,108,124
768,G#5,176.01,99/100,108,124
769,B-5,177.01,99/100,112,124
770,B-5,177.01,99/100,108,124
771,C#4,177.01,99/100,108,124
772,E3,177.51,249/100,120,124
773,B5,178.01,99/100,112,124
774,B5,178.01,99/100,108,124
775,E-4,178.01,99/100,108,124
776,E-6,179.01,49/100,120,124
777,C#4,179.01,99/100,96,124
778,E-6,179.01,49/100,112,124
779,F#6,179.51,49/100,120,124
780,F#6,179.51,49/100,112,124
781,F#6,180.0,0.5,120,124
